Topic,Count,Name,Representation,Representative_Docs
9,99,9_finance_climate finance_financial_climate,"['finance', 'climate finance', 'financial', 'climate', 'financing', 'flows', 'countries', 'event', 'finance flows', 'developing countries']","['standing committee on finance: launch of flagship reports for cop27 the scf will present highlights of its latest reports including the 5th biennial assessment and overview of climate finance flows, progress report on mobilizing usd 100billion per year, definitions of climate finance and article 2.1c of the paris agreement.', '2018 biennial assessment and overview of climate finance flows of the standing committee on finance the event will feature the summary and recommendations, including the key findings with respect to methodological issues relating to mrv of public and private climate finance, overview of climate finance flows in 2015-2016, their assessment, and information relevant to article 2.1(c), of the pa', 'tools for climate finance readiness: building capacity to support increased finance flows. an open exchange around insights and experiences with capacity building tools for improving climate finance readiness: approaches to supporting coherent national finance frameworks, effective and transparent spending structures, access to international climate finance and strengthening integrity. spanish and french translation of the panel will be provided.']"
10,88,10_youth_children_young_young people,"['youth', 'children', 'young', 'young people', 'youth climate', 'intergenerational', 'action', 'education', 'people', 'climate']","['intergenerational inquiry: the highlight of the young and future generations day 2016 this event will bring together decision-makers and young leaders to discuss the key role that youth, who represent more than half of the world’s population, play in implementing climate action. the conference of youth’s results (coy12) and inspiring youth-led initiatives will be presented.', 'transforming education for sustainable development through youth climate action collective action from young people is needed to preserve & protect our planet. through climate education programmes such as earth tribe, youth power & girl-led action on climate change, coalitions for advocacy & adaptive learning, youth are taking action for fairness, justice and the environment.', ""on the road to cop21 and beyond – discover the youth climate action project launched for the united nations secretary-general ban ki-moon's climate summit, youth climate action is a new tool created on one hand to inspire, empower and mobilize young people around the world and on the other to reinforce youth participation, and increase the visibility of youth activities.""]"
11,75,11_ocean_oceans_coastal_marine,"['ocean', 'oceans', 'coastal', 'marine', 'blue', 'ecosystems', 'blue carbon', 'acidification', 'ocean acidification', 'oceanbased']","['coordinating for greater ocean-based climate change ambition: a un-oceans perspective following the ocean-climate dialogue and the gst, this event will showcase how un-oceans is building synergies at all levels for ocean-based mitigation and adaptation, and how collaboration for climate-smart ocean management can contribute to increased ambition for a greater collective impact.', 'ocean-climate-society: the unfccc & ocean mitigation, adaptation, finance and capacity building ocean ecosystems & coastal communities are being impacted by climate change, but the ocean also offers adaptation & mitigation actions. we will show examples of adaptation, governance and finance framework opportunities, incl. for the global south, collaboration and ocean integration in the unfccc', 'ocean-climate-society: challenges & opportunities for ocean mitigation, adaptation, finance & unfccc ocean ecosystems & coastal communities are being impacted by climate change, but the ocean also offers adaptation & mitigation actions. we will show examples of ocean adaptation, incl. africa & asia-pacific, blue finance; collaboration; equitably with communities & ocean integration in the unfccc']"
12,72,12_latin_america_latin america_american,"['latin', 'america', 'latin america', 'american', 'caribbean', 'latin american', 'mexico', 'climate change', 'change', 'climate']","['low-carbon development for latin america: analytical support tools and integrated analyses this event will present work from the climacap/lamp project on pathways for low-carbon development and mitigation in latin america, with perspectives from modellers and policy-makers, then explain how the popular leap tool can be used for such studies, with an example from a latin american country.', 'policy and political challenges facing the implementation of the ndcs in latin america the event will present and analyze the preliminary findings of a comparative research developed by the latin american platform on climate change on the policy and political challenges facing the implementation of the ndcs in the agricultural and forestry sector in ten countries of latin america', 'a regional perspective of the economic impacts of climate change in latin america and the caribbean presentation of a summary of climate change impacts on the main sectors from a regional perspective in latin america and the caribbean. these stern-type studies include water, agro-forestry and energy sectors among others.']"
13,71,13_technology_transfer_technology transfer_technologies,"['technology', 'transfer', 'technology transfer', 'technologies', 'climate technology', 'technology mechanism', 'development transfer', 'developing', 'developing countries', 'diffusion']","[""the unfccc technology mechanism: enhancing climate technology action the two bodies of the unfccc's technology mechanism, the technology executive committee and the climate technology centre and network, will provide an overview of their performance and activities undertaken in 2016 to enhance climate technology action."", 'technology mechanism: harnessing climate technology for paris agreement implementation the unfccc technology mechanism’s two bodies, the technology executive committee and the climate technology centre and network, will describe their performance and activities in 2017 to enhance climate technology development and transfer.', 'technology transfer and development issues for developing countries discussion about the issues and concerns for the developing countries focusing on the technology transfer issue. it essentially looks at the technology transfer as one of the key tools for development goals']"
14,60,14_biodiversity_naturebased_naturebased solutions_biodiversity climate,"['biodiversity', 'naturebased', 'naturebased solutions', 'biodiversity climate', 'nbs', 'nature', 'solutions', 'climate change', 'change biodiversity', 'global biodiversity']","['biodiversity and climate change - multiple interlinkages unep and iucn will present the biodiversity and climate change module of unep\'s project entitled ""issue-based modules for the coherent implementation of biodiversity related conventions"" to demonstrate the role of biodiversity related agreements in achieving unfccc goals', 'connecting biodiversity and climate change mitigation and adaptation â€“ report of the second ad hoc main themes include: the impacts of climate change on biodiversity, the role of biodiversity in climate change adaptation, the links between biodiversity conservation and sustainable use and climate change mitigation and ways and means to value biodiversity with regards to climate change responses.', 'biodiversity - climate interactions: adaptation, mitigation and human livelihoods linkages between biodiversity, climate change and human livelihoods and the role of biodiversity management in climate change, adaptation and mitigation']"
15,58,15_cities_urban_city_mayors,"['cities', 'urban', 'city', 'mayors', 'cities climate', 'climate action', 'local', 'action', 'sustainable', 'climate']","['one un for climate-compatible cities: resilient cities driving risk-informed sustainable development the one un event on human settlements will showcase solutions of catalytic urban climate action reducing risk and vulnerability, and will provide space for discussions on the integration of the 2030 agenda, the paris agreement on climate change, the sendai framework for drr and the new urban agenda.', 'sdg11: urban development as a catalyst of climate action the un system side event on sustainable cities & communities (sdg11) will showcase solutions of catalytic urban climate action for sustainable development, and will provide space for discussions on the integration of the agenda 2030, the paris agreement on climate change, and the new urban agenda.', 'one un for climate-compatible & resilient cities: sustainable cities as a driver for climate action the un system side event on human settlements will showcase solutions of catalytic urban climate action for sustainable development, and will provide space for discussions on the integration of the 2030 agenda, the paris agreement on climate change, and the new urban agenda.']"
16,56,16_water_water climate_water management_management,"['water', 'water climate', 'water management', 'management', 'climate', 'adaptation', 'water action', 'water security', 'rivers', 'resilience']","['water and climate challenges: time to finance actions! societies are affected by climate change & extreme weather events via the water cycle (surface & groundwater): droughts, floods & desertification threaten water, food & energy security. we will showcase solutions for adaptation & mitigation in the water sector (information, governance & financing).', 'water, climate and development: linking up development agendas and putting water security first water is the primary medium through which climate change impacts our world so water security is key to adaptation. this joint side event will demonstrate links between water, human development and climate change, discuss policy responses for cop 16/cmp 6, and explore financing water-related adaptation.', 'climate action for improved water management water is key for adaptation and mitigation and thus needs to be central in implementation of the paris agreement. the side event will demonstrate recent tools, approaches and good practices in adaptive water management and climate financing for water.']"
17,55,17_carbon_markets_carbon markets_carbon pricing,"['carbon', 'markets', 'carbon markets', 'carbon pricing', 'pricing', 'market', 'carbon market', 'voluntary carbon', 'voluntary', 'integrity']","['carbon pricing: concepts, regional developments, and future governance effective carbon pricing is crucial to reach global carbon mitigation goals. this side event examines carbon-pricing options, such as emissions trading and carbon taxes. experts from different continents discuss lessons learned and strategies for national and supra-national governance.', 'carbon markets and carbon pricing in asia state of play and future prospects this side event brings together key stakeholders to discuss prospects for carbon markets in asia, in the context of the international policy framework of the paris agreement. topics include: 1. current status on carbon pricing in asia, 2. next steps and challenges, and 3. how domestic carbon pricing', 'supporting carbon pricing instruments in developing countries carbon pricing and carbon markets are increasingly being pursued as key mitigation policies in developing countries. this event will present examples of efforts by countries in the region to consider and adopt carbon pricing and carbon market instruments.']"
18,51,18_just_just transition_transition_unions,"['just', 'just transition', 'transition', 'unions', 'jobs', 'workers', 'social', 'transitions', 'green', 'just transitions']","['just transition: ensuring decent work and quality jobs are tools for climate policy implementation just transition, defined in the paris agreement with the focus on decent work and quality jobs, will enable climate policy implementation. providing quality jobs, organising social protection, protecting rights, setting up social dialogue structures with trade unions are levers for climate ambition.', 'trade unions for a safe and fair climate: ensuring a just transition for all a just transition towards a low carbon economy is possible, and can make climate action a driver for sustainable economic growth and social progress. we need to transform the economy; trade unions therefore ask for a process aimed at transforming every economic sector into a sustainable one.', 'a just transition work programme (jtwp) with the trade unions delivering climate justice cop28 has to decide on the implementation of the jtwp. engaging with workers and their trade unions will contribute to stepping up climate policy implementation. providing just transition policies such as social dialogue and social protection based on labour rights will guarantantee social justice.']"
19,50,19_fossil_fossil fuel_fuel_coal,"['fossil', 'fossil fuel', 'fuel', 'coal', 'fossil fuels', 'fuels', 'subsidies', 'reform', 'phase', 'subsidy']","['fast, fair, forever: why the world needs a fossil fuel non-proliferation treaty emissions from existing fossil fuel projects will exceed the co2 budget for 1.5°c. we must complement the paris agreement with a fossil fuel treaty to stop the proliferation of deadly fossil fuels and equitably phase out through a just energy transition that is fast, fair, funded, and forever.', 'the missing piece? climate change mitigation and the benefits of fossil fuel subsidy reform. experts will summarise international initiatives to reduce inefficient fossil fuel subsidies and how this will benefit climate change mitigation. political and social challenges along with potential links to the unfccc will be discussed by ministers from the friends of fossil fuel subsidies reform.', 'fossil fuel phase-out and an equitable and just transition: a necessary step towards the paris goals a growing number of parties and non-party stakeholders are taking action to align fossil fuel production with the paris agreement. panelists will discuss how measures such as extraction limits, transition plans, fossil fuel subsidies reform, and other developments can equitably increase ambition.']"
20,48,20_transparency_mrv_transparency framework_etf,"['transparency', 'mrv', 'transparency framework', 'etf', 'enhanced transparency', 'enhanced', 'framework', 'arrangements', 'cge', 'reporting']","['enhancing transparency through the capacity-building initiative for transparency (cbit) this gef event will showcase country experiences with mrv and transparency efforts, in particular, the identification of gaps and needs, the development of institutional frameworks, and the strengthening of national capacities to meet the requirements of the enhanced transparency framework.', 'unfccc: support opportunities available to developing country parties for implementing mrv and etf the gef and other international partners showcase the financial, technical and capacity-building support opportunities available to developing country parties for implementing the mrv arrangements under the convention and transitioning to the enhanced transparency framework under the paris agreement', 'enhancing the preparedness of developing countries to implement the enhanced transparency framework mrv, transparency framework this joint-side event focuses on the provision of support (financial, technical, and capacity-building) to developing countries for the existing mrv arrangements under the convention and the transparency framework under the paris agreement.']"
21,48,21_indigenous_indigenous peoples_peoples_peoples local,"['indigenous', 'indigenous peoples', 'peoples', 'peoples local', 'arctic', 'local communities', 'knowledge', 'rights', 'traditional', 'communities']","[""making the green climate fund relevant and responsive to indigenous peoples: issues and proposals the side event discusses indigenous peoples' issues and proposals in making the green climate fund responsive and supportive of indigenous peoples' climate change adaptation and mitigation initiatives."", ""impacts of climate change mitigation and adaptation on indigenous peoples' lands and territo this will be a panel discussion composed of indigenous peoples from different regions of the world and the un permanent forum on indigenous issues to identify, assess and analyze the impacts of climate change mitigation and adaptation measures on the lands and territories of indigenous peoples."", 'the role of indigenous peoples in restoring their ecosystems to adapt to climate change. indigenous peoples and local communities are an integral part in ecosystem restoration, ensuring land tenure rights and empowering environmental stewardship of indigenous peoples will lead to a long term conservation of biodiversity and promote adaptation to climate change.']"
22,47,22_adaptation_adaptation climate_change adaptation_climate change,"['adaptation', 'adaptation climate', 'change adaptation', 'climate change', 'change', 'climate adaptation', 'adaptation strategies', 'climate', 'science', 'adaptation measures']","['adaptation strategies: multidisciplinary approaches ouranos, a consortium on regional climatology and adaptation to climate change will explain how it links climate modelling to impacts assessment and adaptation', 'adaptation strategies: multidisciplinary approaches ouranos, the canadian consortium on regional climatology and adaptation to climate change will presents its latest results on impacts assessment and adaptation strategies', 'climate change adaptation strategies in developing countries: applying new scientific knowledge assessments of impacts and adaptation to climate change, a gef supported project is adding to scientific capacity in over 40 developing countries. findings from areas including agriculture, water resources, land degradation, coastal zones, human health, and biodiversity will be presented']"
23,46,23_north_california_states_subnational,"['north', 'california', 'states', 'subnational', 'north america', 'officials', 'montreal', 'north american', 'californias', 'american']","['subnational efforts to reduce transportation emissions in north america speakers will discuss efforts underway in us states and canadian provinces to reduce transportation emissions including california, hawaii, massachusetts, minnesota and quebec, as well as through initiatives such as the transportation & climate initiative and the western climate initiative', 'sub-national strategies in north america for meeting paris commitments north american leaders are implementing a variety of approaches to reduce ghgs. session will discuss various policy approaches, such as carbon markets, transport electrification, and how policies can harmonize with other jurisdictions to foster a just transition to clean energy economies.', 'addressing clean energy and climate change action in north america: a coordinated approach iisd and the pembina institute explore ways of strengthening north american collaboration on clean energy and climate change. invited experts will examine policy actions in the united states, canada and mexico, and prospects for a coordinated approach to address climate change in north america.']"
24,44,24_net_net zero_zero_netzero,"['net', 'net zero', 'zero', 'netzero', 'transition', 'zero carbon', '2050', 'emissions', 'fashion', 'transformation']","[""enhancing ambitions with international cooperation towards a success 2050 net-zero transformation developing and deploying climate technologies is critical for the world's net-zero agenda. this event explores how technology development and transfer and international cooperation facilitate the low-carbon transformation and achieve the 2050 net-zero goal in developing countries. innovative low-car"", 'balancing net zero integrity & momentum the net zero tracker will host an event taking stock of non-state actor net zero commitments (from business & investors to cities), with remarks by jessica omukuti & dr arunabha ghosh of the high-level expert group (hleg) on net zero commitments of non-state entities, plus daniel barlow, lead of the', 'what does ‘net zero emissions’ need to mean to meet the goals of the paris agreement? to limit warming to 1.5°c, we need to reach net zero co2 emissions before 2050. but what does net zero actually mean? can we ‘abate’ fossil fuels to deliver on paris goals? this event highlights research on the science of a durable net zero, with business, developing country and ngo perspectives.']"
25,42,25_ghg_ghg emissions_emissions_reduction,"['ghg', 'ghg emissions', 'emissions', 'reduction', 'emission', 'performance', 'mitigation', 'ghgs', 'ghg mitigation', 'ghg reduction']","['latest european commisssion proposals for legislation to reduce ghg emissions two recent proposals for directives as initiatives for reducing ghg emissions in the eu: - on reduction of fluorinated ghgs - to link the eu emissions trading scheme with ji & cdm. international aspects of these proposals will also be discussed.', 'launch of ghg protocol product & corporate value chain standards this event will introduce the ghg protocol product standard and ghg protocol corporate value chain (scope 3) standard. these standards guide companies and governments on how to measure ghg emissions from product life cycles and corporate value chains, to support effective ghg mitigation strategies.', 'climate change performance index (ccpi): country performance in mitigation of ghg-emissions the presented index ccpi compares the climate protection performance of relevant countries with high ghg-emissions by a country ranking. the ccpi should increase public awareness concerning the relative climate performance of their country and enhance mitigation efforts']"
26,41,26_displacement_human mobility_migrants_migration,"['displacement', 'human mobility', 'migrants', 'migration', 'human', 'mobility', 'displaced', 'induced', 'rights', 'task force']","['displacement, human mobility and climate change the event will assess progress in implementing the paris agreement and cop decisions, incl.the task force on displacement that is tasked to develop recommendations to avert, minimize and address displacement, and discuss recent findings related to human mobility, incl.in slow-onset contexts.', 'displacement, human mobility and climate change 2 years later – the event will focus on progress since paris to better address climate related displacement under the unfccc incl. the wim task force on displacement, discuss synergies with other policy processes outside the unfccc and update on new research related to human mobility', 'sdg10: human mobility and climate change cop21 mandated the establishment of a task force on climate displacement to develop recommendations “to avert, minimize and address climate displacement”. this side event intends to take stock of the progress in relation to human mobility under the unfccc and discuss concrete ways forwards.']"
27,36,27_africa_african_west_climate change,"['africa', 'african', 'west', 'climate change', 'cc', 'adaptation', 'change', 'climate', 'regional', 'dare']","['introducing climate change adaptation in africa: a new program of research and capacity development climate change threatens progress toward development goals for africa. the new idrc-dfid climate change adaptation in africa program will boost efforts to cope with climate change impacts. this session presents program aims and approaches to enhancing research and building capacity for adaptation', 'contributions of west african institutions (cilss, ecowas, uemoa, boad) to address climate change the three west african institutions have got some achiements against climate change mainly in adaptation. focus will be done in capacity building of west african to address climate change.', 'cilss initiatives on climate change in sahel and in west africa ""cilss have set up some initiatives on climate change in the sahel and in west africa. its concern the impact of climate change in agriculture and also adaptation measures of farmers in sahelians and west african countries. in addition, cilss has organised some training about the integration']"
28,36,28_kyoto_kyoto protocol_protocol_postkyoto,"['kyoto', 'kyoto protocol', 'protocol', 'postkyoto', 'russian', 'belarus', 'ji', 'commitment period', 'period', 'commitment']","['implementation of the kyoto protocol in russia: current status and outlook russian officials will present recent developments in implementation of the kyoto protocol (national inventory and registry, ji approval procedures, etc.), while representatives from business and ngos will talk about corporate ghg emission reduction policies and ji project opportunities', ""japan's policies and measures to combat climate change 1-the kyoto protocol target achievement plan the japanese government presents the kyoto protocol target achievement plan adopted by the cabinet in april 2005, to set forth necessary measures required to ensure the accomplishment of the 6% reduction commitment under the kyoto protocol"", 'compliance - the kyoto protocol and the broader mea context compliance with the kyoto protocol']"
29,36,29_health_climate health_public health_health systems,"['health', 'climate health', 'public health', 'health systems', 'climate change', 'human health', 'change', 'change health', 'climate', 'air pollution']","['why the climate change agreement is critical to public health cc poses serious health risks, mostly for the poorest populations, but can also stimulate stronger health systems and health gains from the transition to a low-carbon economy. a robust international climate treaty is critical for public health. focus areas: air pollution, biodiversity loss.', 'climate and health: how can policy address health impacts of climate change and air pollution? climate and health: how can policy address health impacts of climate change and air pollution? abstract: climate change has an increasingly negative impact on many aspects of human health. this session highlights co-benefits of action on climate for health and resilience.', 'pathways to climate & health justice: towards resilient and just health systems an expert panel discussion on the impact of climate on health; and how innovative solutions in climate financing, equitable health surveillance and one health, can be pursued with justice-oriented strategies to build a resilient health systems.']"
30,35,30_disaster_risk_disaster risk_risk reduction,"['disaster', 'risk', 'disaster risk', 'risk reduction', 'reduction', 'change disaster', 'early', 'disasters', 'isdr', 'adaptation']","['reducing vulnerability: sustainable constructions for climate adaptation and disaster risk reduction innovative approaches for climate-resistant constructions are crucial for climate adaptation and disaster risk reduction. international experts and at-risk community leaders will analyze the most important on- the- ground solutions in sustainable construction and address the challenges ahead.', 'disaster risk reduction tools for climate change adaptation the secretariat of the un international strategy for disaster reduction, the provention consortium and the red cross climate centre will present disaster risk reduction tools that can be useful in adapting to climate change', 'adaptation to climate change and disaster risk reduction. two topics with similar content and goal? dkkv (german national platform for disaster reduction within isdr) members from humanitarian, development, private sector and science will provide an insight how cc affects their mandate, how they integrate disaster risk reduction as adaptation strategy and what drr can deliver to prevent failures.']"
31,35,31_equity_stocktake_global stocktake_ambition,"['equity', 'stocktake', 'global stocktake', 'ambition', 'global', 'gst', 'equity global', 'equity review', 'inclusive global', 'review']","['building an inclusive global stocktake: expanding upon non-party inputs to the global stocktake the global stocktake is a key mechanism to raise ambition across mitigation, adaptation, and finance, and in light of equity and the best available science. non-party inputs can help build up the political momentum within the gst to trigger nationally enhanced ambition as well as action.', 'equity in the global stocktake and 2018 facilitative dialogue cop23 must advance discussions on the global stocktake and fd2018, lest ambition ratcheting remain out of reach. in this event, civil-society experts will outline ways in which equity can fruitfully help fulfil the ambition-raising promises of the gst and fd2018.', 'the paris agreement & global equity: how to implement the concept of equity at the global level the global stocktake will also assess global efforts from the perspective of equity. global equity is conceptually not an easy feat as equity is primarily associated with fair burden sharing. we will explore solutions to this challenge from an ethical, scientific and political perspective.']"
32,33,32_ndcs_ndc_implementation_ndc implementation,"['ndcs', 'ndc', 'implementation', 'ndc implementation', 'implementation ndcs', 'multisectorial', 'process', 'implementing ndcs', 'africa', 'good practices']","['accelerating ndc implementation: support for policy and practice in this event, developing countries that have initiated ndc implementation will share related experiences and good practices, including challenges and opportunities in identifying needs and coordination of support. new and available support avenues will be shared by development organizations.', ""accelerating action: catalyzing and financing ndc implementation to support climate, growth and deve this event will focus on what's needed to catalyze and finance the implementation of ndcs, including promoting accessible and responsive support; tackling key risks and barriers to private finance; developing robust implementation roadmaps; and advancing action through the paris agreement."", 'ndc implementation in latin america from a multisectorial perspective the aim of the event is to analyze ndcs implementation processes from a multi-sectorial point of view. for these purposes, argentina and guatemala will present their recent experiences and panelists will debate mobilization of finance to implement ndcs in latin america.']"
