Source,Target,Type,Id,Label,Weight,video_num,target_org,se_code,topics,source_org
40,44,Undirected,122,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,Solutions for Our Climate (SFOC)
40,45,Undirected,123,,0.018182,178,LG Energy Solutions,COP28-099,2,Solutions for Our Climate (SFOC)
40,46,Undirected,124,,0.018182,178,Renewable Energy Institute,COP28-099,2,Solutions for Our Climate (SFOC)
40,47,Undirected,125,,0.018182,178,Chalmers University of Technology,COP28-099,2,Solutions for Our Climate (SFOC)
40,48,Undirected,126,,0.018182,178,Zhejiang University,COP28-099,2,Solutions for Our Climate (SFOC)
41,42,Undirected,127,,0.018182,178,Third Generation Environmentalism (E3G),COP28-099,2,Republic of Korea
41,43,Undirected,128,,0.018182,178,Iniciativa Climática de Mexico (ICM),COP28-099,2,Republic of Korea
41,44,Undirected,129,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,Republic of Korea
41,45,Undirected,130,,0.018182,178,LG Energy Solutions,COP28-099,2,Republic of Korea
41,46,Undirected,131,,0.018182,178,Renewable Energy Institute,COP28-099,2,Republic of Korea
41,47,Undirected,132,,0.018182,178,Chalmers University of Technology,COP28-099,2,Republic of Korea
41,48,Undirected,133,,0.018182,178,Zhejiang University,COP28-099,2,Republic of Korea
42,43,Undirected,134,,0.018182,178,Iniciativa Climática de Mexico (ICM),COP28-099,2,Third Generation Environmentalism (E3G)
42,44,Undirected,135,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,Third Generation Environmentalism (E3G)
42,45,Undirected,136,,0.018182,178,LG Energy Solutions,COP28-099,2,Third Generation Environmentalism (E3G)
42,46,Undirected,137,,0.018182,178,Renewable Energy Institute,COP28-099,2,Third Generation Environmentalism (E3G)
42,47,Undirected,138,,0.018182,178,Chalmers University of Technology,COP28-099,2,Third Generation Environmentalism (E3G)
42,48,Undirected,139,,0.018182,178,Zhejiang University,COP28-099,2,Third Generation Environmentalism (E3G)
43,44,Undirected,140,,0.018182,178,Danish Energy Agency (DEA),COP28-099,2,Iniciativa Climática de Mexico (ICM)
43,45,Undirected,141,,0.018182,178,LG Energy Solutions,COP28-099,2,Iniciativa Climática de Mexico (ICM)
43,46,Undirected,142,,0.018182,178,Renewable Energy Institute,COP28-099,2,Iniciativa Climática de Mexico (ICM)
43,47,Undirected,143,,0.018182,178,Chalmers University of Technology,COP28-099,2,Iniciativa Climática de Mexico (ICM)
43,48,Undirected,144,,0.018182,178,Zhejiang University,COP28-099,2,Iniciativa Climática de Mexico (ICM)
44,45,Undirected,145,,0.018182,178,LG Energy Solutions,COP28-099,2,Danish Energy Agency (DEA)
44,46,Undirected,146,,0.018182,178,Renewable Energy Institute,COP28-099,2,Danish Energy Agency (DEA)
44,47,Undirected,147,,0.018182,178,Chalmers University of Technology,COP28-099,2,Danish Energy Agency (DEA)
44,48,Undirected,148,,0.018182,178,Zhejiang University,COP28-099,2,Danish Energy Agency (DEA)
45,46,Undirected,149,,0.018182,178,Renewable Energy Institute,COP28-099,2,LG Energy Solutions
45,47,Undirected,150,,0.018182,178,Chalmers University of Technology,COP28-099,2,LG Energy Solutions
45,48,Undirected,151,,0.018182,178,Zhejiang University,COP28-099,2,LG Energy Solutions
46,47,Undirected,152,,0.018182,178,Chalmers University of Technology,COP28-099,2,Renewable Energy Institute
46,48,Undirected,153,,0.018182,178,Zhejiang University,COP28-099,2,Renewable Energy Institute
47,48,Undirected,154,,0.018182,178,Zhejiang University,COP28-099,2,Chalmers University of Technology
49,50,Undirected,155,,0.066667,200,Greenpeace Africa,COP28-101,19,the Guardian
49,6,Undirected,156,,0.066667,200,Don't Gas Africa,COP28-101,19,the Guardian
49,52,Undirected,157,,0.066667,200,StopEACOP,COP28-101,19,the Guardian
49,53,Undirected,158,,0.066667,200,Germanwatch,COP28-101,19,the Guardian
49,54,Undirected,159,,0.066667,200,Innovation for the Development and Protection of the Environment (IDPE),COP28-101,19,the Guardian
50,6,Undirected,160,,0.066667,200,Don't Gas Africa,COP28-101,19,Greenpeace Africa
50,52,Undirected,161,,0.066667,200,StopEACOP,COP28-101,19,Greenpeace Africa
50,53,Undirected,162,,0.066667,200,Germanwatch,COP28-101,19,Greenpeace Africa
50,54,Undirected,163,,0.066667,200,Innovation for the Development and Protection of the Environment (IDPE),COP28-101,19,Greenpeace Africa
6,52,Undirected,164,,0.066667,200,StopEACOP,COP28-101,19,Don't Gas Africa
6,53,Undirected,165,,0.066667,200,Germanwatch,COP28-101,19,Don't Gas Africa
6,54,Undirected,166,,0.066667,200,Innovation for the Development and Protection of the Environment (IDPE),COP28-101,19,Don't Gas Africa
52,53,Undirected,167,,0.066667,200,Germanwatch,COP28-101,19,StopEACOP
52,54,Undirected,168,,0.066667,200,Innovation for the Development and Protection of the Environment (IDPE),COP28-101,19,StopEACOP
53,54,Undirected,169,,0.066667,200,Innovation for the Development and Protection of the Environment (IDPE),COP28-101,19,Germanwatch
55,56,Undirected,170,,0.027778,203,GreenCape,COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,57,Undirected,171,,0.04596,203,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,58,Undirected,172,,0.027778,203,German Federal Ministry for Economic Cooperation and Development (BMZ),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,59,Undirected,173,,0.027778,203,New Energy and Industrial Technology Development Organization (NEDO),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,44,Undirected,174,,0.027778,203,Danish Energy Agency (DEA),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,12,Undirected,175,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,62,Undirected,176,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,United Nations Economic Commission for Europe (ECE)
55,63,Undirected,177,,0.027778,203,European Investment Bank (EIB),COP28-116,2,United Nations Economic Commission for Europe (ECE)
56,57,Undirected,178,,0.027778,203,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),COP28-116,2,GreenCape
56,58,Undirected,179,,0.027778,203,German Federal Ministry for Economic Cooperation and Development (BMZ),COP28-116,2,GreenCape
56,59,Undirected,180,,0.027778,203,New Energy and Industrial Technology Development Organization (NEDO),COP28-116,2,GreenCape
56,44,Undirected,181,,0.027778,203,Danish Energy Agency (DEA),COP28-116,2,GreenCape
56,12,Undirected,182,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,GreenCape
56,62,Undirected,183,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,GreenCape
56,63,Undirected,184,,0.027778,203,European Investment Bank (EIB),COP28-116,2,GreenCape
57,58,Undirected,185,,0.027778,203,German Federal Ministry for Economic Cooperation and Development (BMZ),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,59,Undirected,186,,0.027778,203,New Energy and Industrial Technology Development Organization (NEDO),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,44,Undirected,187,,0.027778,203,Danish Energy Agency (DEA),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,12,Undirected,188,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,62,Undirected,189,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,63,Undirected,190,,0.027778,203,European Investment Bank (EIB),COP28-116,2,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
58,59,Undirected,191,,0.027778,203,New Energy and Industrial Technology Development Organization (NEDO),COP28-116,2,German Federal Ministry for Economic Cooperation and Development (BMZ)
58,44,Undirected,192,,0.027778,203,Danish Energy Agency (DEA),COP28-116,2,German Federal Ministry for Economic Cooperation and Development (BMZ)
58,12,Undirected,193,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,German Federal Ministry for Economic Cooperation and Development (BMZ)
58,62,Undirected,194,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,German Federal Ministry for Economic Cooperation and Development (BMZ)
58,63,Undirected,195,,0.027778,203,European Investment Bank (EIB),COP28-116,2,German Federal Ministry for Economic Cooperation and Development (BMZ)
59,44,Undirected,196,,0.027778,203,Danish Energy Agency (DEA),COP28-116,2,New Energy and Industrial Technology Development Organization (NEDO)
59,12,Undirected,197,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,New Energy and Industrial Technology Development Organization (NEDO)
59,62,Undirected,198,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,New Energy and Industrial Technology Development Organization (NEDO)
59,63,Undirected,199,,0.027778,203,European Investment Bank (EIB),COP28-116,2,New Energy and Industrial Technology Development Organization (NEDO)
44,12,Undirected,200,,0.027778,203,United Nations Industrial Development Organization (UNIDO),COP28-116,2,Danish Energy Agency (DEA)
44,62,Undirected,201,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,Danish Energy Agency (DEA)
44,63,Undirected,202,,0.027778,203,European Investment Bank (EIB),COP28-116,2,Danish Energy Agency (DEA)
12,62,Undirected,203,,0.027778,203,Global Environment Facility (GEF),COP28-116,2,United Nations Industrial Development Organization (UNIDO)
12,63,Undirected,204,,0.027778,203,European Investment Bank (EIB),COP28-116,2,United Nations Industrial Development Organization (UNIDO)
62,63,Undirected,205,,0.027778,203,European Investment Bank (EIB),COP28-116,2,Global Environment Facility (GEF)
64,65,Undirected,206,,0.333333,248,University of Tokyo (IR3S),COP28-162,61,Ontario Power Generation (OPG)
64,66,Undirected,207,,0.333333,248,"Japan Atomic Industrial Forum, Inc. (JAIF)",COP28-162,61,Ontario Power Generation (OPG)
65,66,Undirected,208,,0.333333,248,"Japan Atomic Industrial Forum, Inc. (JAIF)",COP28-162,61,University of Tokyo (IR3S)
57,68,Undirected,209,,0.018182,247,United Nations Economic and Social Commission for Western Asia (ESCWA),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,70,Undirected,211,,0.018182,247,United Nations Environment Programme (UNEP),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,71,Undirected,212,,0.018182,247,United Nations Economic Commission for Africa (ECA),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,72,Undirected,213,,0.018182,247,United Nations Economic Commission for Latin America and the Caribbean (ECLAC),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,73,Undirected,214,,0.018182,247,Saudi Arabia,COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,74,Undirected,215,,0.018182,247,African Export-Import Bank,COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,75,Undirected,216,,0.018182,247,International Monetary Fund (IMF),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,76,Undirected,217,,0.018182,247,University of Queensland,COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
57,77,Undirected,218,,0.018182,247,London School of Economics and Political Science (LSE),COP28-183,19,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP)
68,55,Undirected,219,,0.018182,247,United Nations Economic Commission for Europe (ECE),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,70,Undirected,220,,0.018182,247,United Nations Environment Programme (UNEP),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,71,Undirected,221,,0.018182,247,United Nations Economic Commission for Africa (ECA),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,72,Undirected,222,,0.018182,247,United Nations Economic Commission for Latin America and the Caribbean (ECLAC),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,73,Undirected,223,,0.018182,247,Saudi Arabia,COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,74,Undirected,224,,0.018182,247,African Export-Import Bank,COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,75,Undirected,225,,0.018182,247,International Monetary Fund (IMF),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,76,Undirected,226,,0.018182,247,University of Queensland,COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
68,77,Undirected,227,,0.018182,247,London School of Economics and Political Science (LSE),COP28-183,19,United Nations Economic and Social Commission for Western Asia (ESCWA)
55,70,Undirected,228,,0.018182,247,United Nations Environment Programme (UNEP),COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,71,Undirected,229,,0.018182,247,United Nations Economic Commission for Africa (ECA),COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,72,Undirected,230,,0.018182,247,United Nations Economic Commission for Latin America and the Caribbean (ECLAC),COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,73,Undirected,231,,0.018182,247,Saudi Arabia,COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,74,Undirected,232,,0.018182,247,African Export-Import Bank,COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,75,Undirected,233,,0.018182,247,International Monetary Fund (IMF),COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,76,Undirected,234,,0.018182,247,University of Queensland,COP28-183,19,United Nations Economic Commission for Europe (ECE)
55,77,Undirected,235,,0.018182,247,London School of Economics and Political Science (LSE),COP28-183,19,United Nations Economic Commission for Europe (ECE)
70,71,Undirected,236,,0.018182,247,United Nations Economic Commission for Africa (ECA),COP28-183,19,United Nations Environment Programme (UNEP)
70,72,Undirected,237,,0.018182,247,United Nations Economic Commission for Latin America and the Caribbean (ECLAC),COP28-183,19,United Nations Environment Programme (UNEP)
70,73,Undirected,238,,0.018182,247,Saudi Arabia,COP28-183,19,United Nations Environment Programme (UNEP)
70,74,Undirected,239,,0.018182,247,African Export-Import Bank,COP28-183,19,United Nations Environment Programme (UNEP)
70,75,Undirected,240,,0.018182,247,International Monetary Fund (IMF),COP28-183,19,United Nations Environment Programme (UNEP)
70,76,Undirected,241,,0.018182,247,University of Queensland,COP28-183,19,United Nations Environment Programme (UNEP)
