Source,Target,Type,Id,Label,Weight,se_code,title/description,source_name,target_name,new_topics_ctfidf
166,1430,Undirected,13115,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.","Human Rights Watch, Inc. (HRW)",Heinrich Böll Foundation (HBF),19
1769,1430,Undirected,13116,,0.1,COP28-019,"a fast, fair, funded phase out of fossil fuels this side event will discuss the need for a cop28 energy transition package that includes a fair, fast, funded and full phase out of fossil fuels as well as a strong renewable energy deployment target and adequate finance.",Recourse,Heinrich Böll Foundation (HBF),19
1519,595,Undirected,13118,,0.333333,COP27-329,"funding a just future, not fossils: update on glasgow pledge to end public fossil finance in 2022 at cop26, 39 signatories pledged to end international public finance for all fossil fuels by the end of 2022 and instead prioritize support for clean energy. hear a progress update plus global south civil society leaders' priorities beyond 2022 for how public finance can unlock a just transition.",Oil Change International (OCI),Tearfund,19
1769,595,Undirected,13119,,0.333333,COP27-329,"funding a just future, not fossils: update on glasgow pledge to end public fossil finance in 2022 at cop26, 39 signatories pledged to end international public finance for all fossil fuels by the end of 2022 and instead prioritize support for clean energy. hear a progress update plus global south civil society leaders' priorities beyond 2022 for how public finance can unlock a just transition.",Recourse,Tearfund,19
1620,1519,Undirected,13120,,0.333333,COP24-155,"fossil fuel phase-out and an equitable and just transition: a necessary step towards the paris goals a growing number of parties and non-party stakeholders are taking action to align fossil fuel production with the paris agreement. panelists will discuss how measures such as extraction limits, transition plans, fossil fuel subsidies reform, and other developments can equitably increase ambition.",Global Witness,Oil Change International (OCI),19
534,1620,Undirected,13122,,0.333333,COP24-155,"fossil fuel phase-out and an equitable and just transition: a necessary step towards the paris goals a growing number of parties and non-party stakeholders are taking action to align fossil fuel production with the paris agreement. panelists will discuss how measures such as extraction limits, transition plans, fossil fuel subsidies reform, and other developments can equitably increase ambition.",Stockholm Environment Institute (SEI),Global Witness,19
1011,1519,Undirected,13123,,0.333333,COP25-065,"working for oil & gas or 1.5°c?: why iea and mdb reform is crucial to the paris goals we explore what a 1.5c limit means for oil & gas industry expansion, and the disconnect with plans in the permian (us), vaca muerta (argentina), and bolivia. the case will be made for how the international energy agency and multilateral development banks can play a stronger leadership role.",Christian Aid (CA),Oil Change International (OCI),19
1519,607,Undirected,13124,,0.333333,COP25-065,"working for oil & gas or 1.5°c?: why iea and mdb reform is crucial to the paris goals we explore what a 1.5c limit means for oil & gas industry expansion, and the disconnect with plans in the permian (us), vaca muerta (argentina), and bolivia. the case will be made for how the international energy agency and multilateral development banks can play a stronger leadership role.",Oil Change International (OCI),Earthworks,19
1011,607,Undirected,13125,,0.333333,COP25-065,"working for oil & gas or 1.5°c?: why iea and mdb reform is crucial to the paris goals we explore what a 1.5c limit means for oil & gas industry expansion, and the disconnect with plans in the permian (us), vaca muerta (argentina), and bolivia. the case will be made for how the international energy agency and multilateral development banks can play a stronger leadership role.",Christian Aid (CA),Earthworks,19
1577,1519,Undirected,13126,,1,COP21-079,the phase out of fossil fuel subsidies and the paris climate deal it is essential to phase out fossil fuel subsidies to stay below 2 degrees. phasing out ffs can contribute to achieving the objectives of the paris agreement to reduce pre-2020 emissions and move finance away from fossil fuels to clean solutions in developing countries.,Climate Action Network - Europe (CAN - Europe),Oil Change International (OCI),19
1570,1519,Undirected,13127,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",SustainUS,Oil Change International (OCI),19
1519,627,Undirected,13128,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",Oil Change International (OCI),Rainforest Action Network (RAN),19
1570,627,Undirected,13129,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",SustainUS,Rainforest Action Network (RAN),19
1519,1491,Undirected,13130,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",Oil Change International (OCI),Human Rights Foundation of Aotearoa New Zealand (HRF),19
1570,1491,Undirected,13131,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",SustainUS,Human Rights Foundation of Aotearoa New Zealand (HRF),19
627,1491,Undirected,13132,,0.166667,COP26-313,"planning a just and equitable phase out of fossil fuel production to limit warming to 1.5°c this event will present the case for a managed decline of the oil and gas industry, highlighting the case for governments to align the production of fossil fuels with the 1.5°c limit and highlighting local, national and international initiatives to end fossil fuel expansion.",Rainforest Action Network (RAN),Human Rights Foundation of Aotearoa New Zealand (HRF),19
847,655,Undirected,13133,,0.166667,COP27-337,"is development possible without fossil fuels? in the context of the un sustainable development goals, a clean, affordable and reliable just energy transition for everyone will entail a significant energy demand. burning fossil fuels is not an option. can nuclear energy alongside renewables ensure an access to a dignified way of life worldwide?",International Youth Nuclear Congress (IYNC),Saving Our Planet (SOP),19
655,1554,Undirected,13134,,0.166667,COP27-337,"is development possible without fossil fuels? in the context of the un sustainable development goals, a clean, affordable and reliable just energy transition for everyone will entail a significant energy demand. burning fossil fuels is not an option. can nuclear energy alongside renewables ensure an access to a dignified way of life worldwide?",Saving Our Planet (SOP),European Nuclear Society (ENS),19
847,1554,Undirected,13135,,0.166667,COP27-337,"is development possible without fossil fuels? in the context of the un sustainable development goals, a clean, affordable and reliable just energy transition for everyone will entail a significant energy demand. burning fossil fuels is not an option. can nuclear energy alongside renewables ensure an access to a dignified way of life worldwide?",International Youth Nuclear Congress (IYNC),European Nuclear Society (ENS),19
655,121,Undirected,13136,,0.166667,COP27-337,"is development possible without fossil fuels? in the context of the un sustainable development goals, a clean, affordable and reliable just energy transition for everyone will entail a significant energy demand. burning fossil fuels is not an option. can nuclear energy alongside renewables ensure an access to a dignified way of life worldwide?",Saving Our Planet (SOP),American Nuclear Society (ANS),19
1554,121,Undirected,13137,,0.5,COP28-196,"how can we meet growing energy demand whilst minimising use of raw material and natural capital? with increased electricity demand from electrification and tackling energy poverty, the extensive use of raw materials and natural capital has become a growing issue. this event will assess low carbon energy sources against this and discuss the options available to minimise the impact on our planet.",European Nuclear Society (ENS),American Nuclear Society (ANS),2
847,121,Undirected,13138,,0.166667,COP27-337,"is development possible without fossil fuels? in the context of the un sustainable development goals, a clean, affordable and reliable just energy transition for everyone will entail a significant energy demand. burning fossil fuels is not an option. can nuclear energy alongside renewables ensure an access to a dignified way of life worldwide?",International Youth Nuclear Congress (IYNC),American Nuclear Society (ANS),19
1073,1554,Undirected,13139,,0.066667,COP23-023,is nuclear energy part of the solution to fight climate change? nuclear energy is recognized by the ipcc as “an effective greenhouse gas mitigation option” with life cycle emissions “comparable to most renewables”. the panel will discuss current and future contribution of nuclear in fighting climate change.,Forum Atomique Européen (FORATOM),European Nuclear Society (ENS),61
1665,1554,Undirected,13140,,0.066667,COP23-023,is nuclear energy part of the solution to fight climate change? nuclear energy is recognized by the ipcc as “an effective greenhouse gas mitigation option” with life cycle emissions “comparable to most renewables”. the panel will discuss current and future contribution of nuclear in fighting climate change.,"Japan Atomic Industrial Forum, Inc. (JAIF)",European Nuclear Society (ENS),61
818,1554,Undirected,13141,,0.066667,COP23-023,is nuclear energy part of the solution to fight climate change? nuclear energy is recognized by the ipcc as “an effective greenhouse gas mitigation option” with life cycle emissions “comparable to most renewables”. the panel will discuss current and future contribution of nuclear in fighting climate change.,Nuclear Energy Institute (NEI),European Nuclear Society (ENS),61
1296,1554,Undirected,13142,,0.066667,COP23-023,is nuclear energy part of the solution to fight climate change? nuclear energy is recognized by the ipcc as “an effective greenhouse gas mitigation option” with life cycle emissions “comparable to most renewables”. the panel will discuss current and future contribution of nuclear in fighting climate change.,World Nuclear Association (WNA),European Nuclear Society (ENS),61
1073,1665,Undirected,13143,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.",Forum Atomique Européen (FORATOM),"Japan Atomic Industrial Forum, Inc. (JAIF)",61
1073,818,Undirected,13144,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.",Forum Atomique Européen (FORATOM),Nuclear Energy Institute (NEI),61
1665,818,Undirected,13145,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.","Japan Atomic Industrial Forum, Inc. (JAIF)",Nuclear Energy Institute (NEI),61
1073,1296,Undirected,13146,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.",Forum Atomique Européen (FORATOM),World Nuclear Association (WNA),61
1665,1296,Undirected,13147,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.","Japan Atomic Industrial Forum, Inc. (JAIF)",World Nuclear Association (WNA),61
818,1296,Undirected,13148,,0.2,COP27-313,"meeting the energy challenge: nuclear's role in a sustainable and secure low-carbon future energy demand has been growing faster than clean energy production, leading to a rise in energy-related ghgs. price rises triggered by fossil fuel supplies concerns are causing hardship. the event explores how nuclear energy can contribute to a more affordable, secure and sustainable energy future.",Nuclear Energy Institute (NEI),World Nuclear Association (WNA),61
1554,911,Undirected,13152,,0.066667,COP23-023,is nuclear energy part of the solution to fight climate change? nuclear energy is recognized by the ipcc as “an effective greenhouse gas mitigation option” with life cycle emissions “comparable to most renewables”. the panel will discuss current and future contribution of nuclear in fighting climate change.,European Nuclear Society (ENS),Canadian Nuclear Association (CNA),61
1374,1554,Undirected,13154,,0.333333,COP28-196,"how can we meet growing energy demand whilst minimising use of raw material and natural capital? with increased electricity demand from electrification and tackling energy poverty, the extensive use of raw materials and natural capital has become a growing issue. this event will assess low carbon energy sources against this and discuss the options available to minimise the impact on our planet.",Sauvons Le Climat (SLC),European Nuclear Society (ENS),2
1374,121,Undirected,13155,,0.333333,COP28-196,"how can we meet growing energy demand whilst minimising use of raw material and natural capital? with increased electricity demand from electrification and tackling energy poverty, the extensive use of raw materials and natural capital has become a growing issue. this event will assess low carbon energy sources against this and discuss the options available to minimise the impact on our planet.",Sauvons Le Climat (SLC),American Nuclear Society (ANS),2
1719,125,Undirected,13157,,0.333333,COP27-166,"aligning public finance with 1.5c and a just energy transition for africa public finance plays a major role in enabling fossil projects to go ahead. although governments promised to stop with fossil finance abroad by the end of 2022 at the glasgow,few have actually taken steps to do so. this event will discuss strategies that help support just energy tranistion in africa",Faith Association of the Rehabilitation of Street Children and Orphans (FARSO),Abibimman Foundation (AF),19
1719,1198,Undirected,13158,,0.333333,COP27-166,"aligning public finance with 1.5c and a just energy transition for africa public finance plays a major role in enabling fossil projects to go ahead. although governments promised to stop with fossil finance abroad by the end of 2022 at the glasgow,few have actually taken steps to do so. this event will discuss strategies that help support just energy tranistion in africa",Faith Association of the Rehabilitation of Street Children and Orphans (FARSO),Global Green Environmental Network (GLOGEN),19
125,1198,Undirected,13159,,0.333333,COP27-166,"aligning public finance with 1.5c and a just energy transition for africa public finance plays a major role in enabling fossil projects to go ahead. although governments promised to stop with fossil finance abroad by the end of 2022 at the glasgow,few have actually taken steps to do so. this event will discuss strategies that help support just energy tranistion in africa",Abibimman Foundation (AF),Global Green Environmental Network (GLOGEN),19
250,125,Undirected,13160,,0.333333,COP25-248,"green technology, green business, education and local ownership: the road to achieving the sdgs from clean cooking stoves to solar powered schools: a journey through three continents to show what can the combination of education, local ownership, renewable energy and sustainable business achieve, both for developing countries and for the industrialized world.",Climate Change Center (CCC),Abibimman Foundation (AF),2
1735,125,Undirected,13161,,0.333333,COP25-248,"green technology, green business, education and local ownership: the road to achieving the sdgs from clean cooking stoves to solar powered schools: a journey through three continents to show what can the combination of education, local ownership, renewable energy and sustainable business achieve, both for developing countries and for the industrialized world.",Nordic Folkecenter for Renewable Energy (NFVE),Abibimman Foundation (AF),2
1735,250,Undirected,13162,,0.333333,COP25-248,"green technology, green business, education and local ownership: the road to achieving the sdgs from clean cooking stoves to solar powered schools: a journey through three continents to show what can the combination of education, local ownership, renewable energy and sustainable business achieve, both for developing countries and for the industrialized world.",Nordic Folkecenter for Renewable Energy (NFVE),Climate Change Center (CCC),2
710,1096,Undirected,13163,,1,COP17-137,"how to achieve a global transformation towards a climate-friendly, sustainable future? we present policy options to cut emissions via a transformation of energy systems and sustainable land and ecosystems management, with co-benefits for human development goals. a decarbonization and efficiency approach will be profiled as will wbgu’s new report a social contract for sustainability",German Advisory Council on Global Change (WBGU),International Institute for Applied Systems Analysis (IIASA),2
46,1196,Undirected,13164,,1,COP25-196,"clean energy transition pathways and tracking progress with paris agreement implementation the iea-teri joint event highlights progress and trends in the clean energy transition and long-term pathways to meet paris agreement goals. the event draws on latest iea data for tracking energy transitions, presenting scenarios and sectoral opportunities to deliver ambition in the energy sector.",International Energy Agency (IEA),The Energy and Resources Institute (TERI),2
84,1196,Undirected,13165,,1,COP18-060,"poverty and climate change mitigation most of the world’s poor live in middle-income countries, which need to mitigate emissions, too, and not only adapt to the consequences of climate change. mitigation & poverty reduction continue as a trade-off. this event presents experiences and concepts for poverty alleviating mitigation actions",University of Cape Town (UCT),The Energy and Resources Institute (TERI),62
976,250,Undirected,13166,,0.333333,COP20-106,"innovations for sustainable energy: smart energy path planning, law and governance modern energy planning must meet sustainable development objectives. a tool to develop resilient, low-carbon energy services will be presented. law and governance experts will share innovative frameworks for clean energy access, encouraging sustainable energy investments.",Centre for International Sustainable Development Law (CISDL),Climate Change Center (CCC),2
515,250,Undirected,13167,,0.333333,COP20-106,"innovations for sustainable energy: smart energy path planning, law and governance modern energy planning must meet sustainable development objectives. a tool to develop resilient, low-carbon energy services will be presented. law and governance experts will share innovative frameworks for clean energy access, encouraging sustainable energy investments.",HELIO International (HELIO),Climate Change Center (CCC),2
515,976,Undirected,13168,,0.333333,COP20-106,"innovations for sustainable energy: smart energy path planning, law and governance modern energy planning must meet sustainable development objectives. a tool to develop resilient, low-carbon energy services will be presented. law and governance experts will share innovative frameworks for clean energy access, encouraging sustainable energy investments.",HELIO International (HELIO),Centre for International Sustainable Development Law (CISDL),2
1011,1463,Undirected,13169,,0.333333,COP22-075,"zero carbon transition: shifting investment towards renewable energy & achieving energy for all we will present national and regional evidence for the case for a shift to renewable energy & energy for all in developing countries, to deliver targeted engagement with the drivers of change. we will discuss ways forward to closing the ambition gap, while delivering sustainable energy development",Christian Aid (CA),Climate Action Network - Latin America (CAN-LA),2
1577,1463,Undirected,13170,,0.333333,COP22-075,"zero carbon transition: shifting investment towards renewable energy & achieving energy for all we will present national and regional evidence for the case for a shift to renewable energy & energy for all in developing countries, to deliver targeted engagement with the drivers of change. we will discuss ways forward to closing the ambition gap, while delivering sustainable energy development",Climate Action Network - Europe (CAN - Europe),Climate Action Network - Latin America (CAN-LA),2
1577,1011,Undirected,13171,,0.333333,COP22-075,"zero carbon transition: shifting investment towards renewable energy & achieving energy for all we will present national and regional evidence for the case for a shift to renewable energy & energy for all in developing countries, to deliver targeted engagement with the drivers of change. we will discuss ways forward to closing the ambition gap, while delivering sustainable energy development",Climate Action Network - Europe (CAN - Europe),Christian Aid (CA),2
1588,569,Undirected,13172,,1,COP25-187,doubling the climate benefits of kigali amendment by improving energy efficiency in cooling sector panel to discuss opportunities to catalyze ambitious actions to improve energy efficiency in the cooling sector while transitioning out of hcfc and hfc refrigerants,France,Institute for Governance and Sustainable Development (IGSD),2
783,1422,Undirected,13173,,1,COP19-017,"enabling an efficient transition to low carbon energy systems storing energy when it is produced so that it can be used when required will increase the uptake of intermittent renewables, especially off-grid, displacing carbon-intensive generation. demonstrating new energy storage technologies and understanding the investment case will enable deployment.",Centre for Low Carbon Futures (CLCF),Chatham House,2
1307,663,Undirected,13174,,0.333333,COP21-124,fossil fuel subsidies and climate change: national action and international phase out presentation of international fossil fuel subsidy reform communiqué. national action and effort on subsidy reform. inclusion in indcs. ending usd 550 billion subsidies has emissions reduction potential of 10% and liberates finance for investment in renewable energy & energy efficiency initiatives.,International Institute for Sustainable Development (IISD),Finland,19
1566,663,Undirected,13175,,0.333333,COP21-124,fossil fuel subsidies and climate change: national action and international phase out presentation of international fossil fuel subsidy reform communiqué. national action and effort on subsidy reform. inclusion in indcs. ending usd 550 billion subsidies has emissions reduction potential of 10% and liberates finance for investment in renewable energy & energy efficiency initiatives.,New Zealand,Finland,19
1307,1566,Undirected,13176,,2.666667,COP19-179,"reaping emissions reductions from fossil-fuel subsidy reform: learning from success stories highlights the importance of fossil-fuel subsidy reform—especially its emissions reductions benefits—and features case studies, including from developing countries. ministers and other high-level speakers will discuss how parties can ensure fossil-fuel subsidy reform leads to emissions reductions.",International Institute for Sustainable Development (IISD),New Zealand,19
1223,663,Undirected,13177,,0.166667,COP23-250,"implementing paris and the sdgs through fuel subsidy reform and taxation: country best practice practical country and international efforts to remove fossil fuel subsidies and invest in renewables, public transport and energy efficiency. phasing out usd 500 billion subsidies and introduction of fuel taxation has emissions reduction potential of 23% and liberates finance for sustainable energy.",University of Eastern Finland (UEF),Finland,19
232,663,Undirected,13178,,0.166667,COP23-250,"implementing paris and the sdgs through fuel subsidy reform and taxation: country best practice practical country and international efforts to remove fossil fuel subsidies and invest in renewables, public transport and energy efficiency. phasing out usd 500 billion subsidies and introduction of fuel taxation has emissions reduction potential of 23% and liberates finance for sustainable energy.",Denmark,Finland,19
232,1223,Undirected,13179,,0.166667,COP23-250,"implementing paris and the sdgs through fuel subsidy reform and taxation: country best practice practical country and international efforts to remove fossil fuel subsidies and invest in renewables, public transport and energy efficiency. phasing out usd 500 billion subsidies and introduction of fuel taxation has emissions reduction potential of 23% and liberates finance for sustainable energy.",Denmark,University of Eastern Finland (UEF),19
663,734,Undirected,13180,,0.166667,COP23-250,"implementing paris and the sdgs through fuel subsidy reform and taxation: country best practice practical country and international efforts to remove fossil fuel subsidies and invest in renewables, public transport and energy efficiency. phasing out usd 500 billion subsidies and introduction of fuel taxation has emissions reduction potential of 23% and liberates finance for sustainable energy.",Finland,Climate Parliament,19
1223,734,Undirected,13181,,0.166667,COP23-250,"implementing paris and the sdgs through fuel subsidy reform and taxation: country best practice practical country and international efforts to remove fossil fuel subsidies and invest in renewables, public transport and energy efficiency. phasing out usd 500 billion subsidies and introduction of fuel taxation has emissions reduction potential of 23% and liberates finance for sustainable energy.",University of Eastern Finland (UEF),Climate Parliament,19
