Id,Label,clean_org,org_type,country_type,events,name,ff_nominator,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
1554,,European Nuclear Society (ENS),Constituency - Business and Industry,Annex II,4.75,European Nuclear Society (ENS),0,9,1.5,2,0.846154,0.909091,0.000423,0.478987
121,,American Nuclear Society (ANS),Constituency - Research and independent,Annex II,0.583333,American Nuclear Society (ANS),0,4,1.166667,3,0.55,0.651515,0.000015,0.138943
1073,,Forum Atomique Européen (FORATOM),Constituency - Others,Annex II,0.5,Forum Atomique Européen (FORATOM),0,7,1,2,0.733333,0.818182,0.000032,0.509394
1665,,"Japan Atomic Industrial Forum, Inc. (JAIF)",Constituency - Business and Industry,Annex II,0.5,"Japan Atomic Industrial Forum, Inc. (JAIF)",0,7,1,2,0.733333,0.818182,0.000032,0.509394
818,,Nuclear Energy Institute (NEI),Constituency - Business and Industry,Annex II,0.5,Nuclear Energy Institute (NEI),0,7,1,2,0.733333,0.818182,0.000032,0.509394
1296,,World Nuclear Association (WNA),Constituency - Business and Industry,Annex II,1.5,World Nuclear Association (WNA),0,7,1,2,0.733333,0.818182,0.000032,0.509394
911,,Canadian Nuclear Association (CNA),Constituency - Business and Industry,Annex II,0.5,Canadian Nuclear Association (CNA),0,7,1,2,0.733333,0.818182,0.000032,0.509394
1374,,Sauvons Le Climat (SLC),Constituency - Environmental,Annex II,0.333333,Sauvons Le Climat (SLC),0,2,0.666667,3,0.5,0.560606,0,0.101557
1719,,Faith Association of the Rehabilitation of Street Children and Orphans (FARSO),Constituency - Youth,Non-Annex,0.333333,Faith Association of the Rehabilitation of Street Children and Orphans (FARSO),0,2,0.666667,18,0.105236,0.144626,0,0.059821
125,,Abibimman Foundation (AF),Constituency - Environmental,Non-Annex,0.866667,Abibimman Foundation (AF),0,8,1.733333,17,0.117477,0.184557,0.031034,0.250416
1198,,Global Green Environmental Network (GLOGEN),Constituency - Environmental,Non-Annex,0.333333,Global Green Environmental Network (GLOGEN),0,2,0.666667,18,0.105236,0.144626,0,0.059821
250,,Climate Change Center (CCC),Constituency - Environmental,Non-Annex,0.666667,Climate Change Center (CCC),0,4,1.333333,16,0.130128,0.189916,0.016406,0.180979
1735,,Nordic Folkecenter for Renewable Energy (NFVE),Constituency - Environmental,Annex II,2.416667,Nordic Folkecenter for Renewable Energy (NFVE),0,10,2.833333,16,0.130463,0.204284,0.018618,0.497064
710,,German Advisory Council on Global Change (WBGU),Constituency - Research and independent,Annex II,0.5,German Advisory Council on Global Change (WBGU),0,1,1,1,1,1,0,0.002734
1096,,International Institute for Applied Systems Analysis (IIASA),Constituency - Research and independent,Annex II,0.5,International Institute for Applied Systems Analysis (IIASA),0,1,1,1,1,1,0,0.002734
46,,International Energy Agency (IEA),IGO,Annex II,11,International Energy Agency (IEA),0,4,4,16,0.129464,0.185241,0.022629,0.060428
1196,,The Energy and Resources Institute (TERI),Constituency - Research and independent,Non-Annex,1,The Energy and Resources Institute (TERI),0,2,2,17,0.115538,0.157248,0.001373,0.031948
84,,University of Cape Town (UCT),Constituency - Research and independent,Non-Annex,1.25,University of Cape Town (UCT),0,5,2.5,16,0.123329,0.168462,0.004526,0.062644
976,,Centre for International Sustainable Development Law (CISDL),Constituency - Research and independent,Annex II,0.333333,Centre for International Sustainable Development Law (CISDL),0,2,0.666667,16,0.128481,0.172757,0,0.070099
515,,HELIO International (HELIO),Constituency - Environmental,Annex II,1.5,HELIO International (HELIO),0,6,3,15,0.145729,0.212804,0.034594,0.202558
1463,,Climate Action Network - Latin America (CAN-LA),Constituency - Environmental,Non-Annex,0.333333,Climate Action Network - Latin America (CAN-LA),0,2,0.666667,14,0.157364,0.20407,0,0.096424
1588,,France,Party,Annex II,0.5,France,1,1,1,1,1,1,0,0.002734
569,,Institute for Governance and Sustainable Development (IGSD),Constituency - Environmental,Annex II,0.5,Institute for Governance and Sustainable Development (IGSD),0,1,1,1,1,1,0,0.002734
783,,Centre for Low Carbon Futures (CLCF),Constituency - Research and independent,Annex II,0.5,Centre for Low Carbon Futures (CLCF),0,1,1,1,1,1,0,0.002734
1422,,Chatham House,Constituency - Research and independent,Annex II,0.5,Chatham House,0,1,1,1,1,1,0,0.002734
1307,,International Institute for Sustainable Development (IISD),Constituency - Research and independent,Annex II,2,International Institute for Sustainable Development (IISD),0,5,4,16,0.135968,0.197474,0.007846,0.116034
663,,Finland,Party,Annex II,1.583333,Finland,1,5,1.166667,15,0.143564,0.201974,0.003443,0.150913
1566,,New Zealand,Party,Annex II,2.666667,New Zealand,0,3,3.333333,16,0.133377,0.184302,0.000929,0.074155
232,,Denmark,Party,Annex II,2.083333,Denmark,0,6,2.166667,15,0.145938,0.213387,0.02661,0.164105
734,,Climate Parliament,Constituency - Environmental,Annex II,0.25,Climate Parliament,0,3,0.5,15,0.140582,0.19143,0,0.117423
491,,International Council for Sustainable Energy (ICSE),Constituency - Business and Industry,Annex II,2.25,International Council for Sustainable Energy (ICSE),0,9,4.5,16,0.115868,0.188773,0.065488,0.299037
555,,Center for Clean Air Policy (CCAP),Constituency - Research and independent,Annex II,0.5,Center for Clean Air Policy (CCAP),0,1,1,17,0.103889,0.143343,0,0.055318
39,,Centre for Environment and Development (CED),Constituency - Environmental,Non-Annex,0.25,Centre for Environment and Development (CED),0,3,0.5,1,1,1,0,0.027867
1332,,Thanal Trust,Constituency - Environmental,Non-Annex,0.25,Thanal Trust,0,3,0.5,1,1,1,0,0.027867
69,,Bangladesh Resource Centre for Indigenous Knowledge (BARCIK),Constituency - Environmental,Non-Annex,0.25,Bangladesh Resource Centre for Indigenous Knowledge (BARCIK),0,3,0.5,1,1,1,0,0.027867
273,,Centre for Ecology Development and Research (CEDAR),Constituency - Environmental,Non-Annex,0.25,Centre for Ecology Development and Research (CEDAR),0,3,0.5,1,1,1,0,0.027867
1156,,Institut du Développement Durable et des Relations Internationales (IDDRI),Constituency - Research and independent,Annex II,0.583333,Institut du Développement Durable et des Relations Internationales (IDDRI),0,3,1.166667,16,0.121339,0.158393,0,0.051541
840,,Climate Strategies,Constituency - Research and independent,Annex II,1.416667,Climate Strategies,0,5,2.833333,15,0.136885,0.187499,0.011406,0.096807
1715,,German Institute for Economic Research (DIW Berlin),Constituency - Research and independent,Annex II,0.583333,German Institute for Economic Research (DIW Berlin),0,3,1.166667,16,0.121339,0.158393,0,0.051541
1407,,Mercy International Association (MIA),Constituency - Research and independent,Annex II,0.25,Mercy International Association (MIA),0,3,0.5,15,0.142958,0.194792,0,0.310527
1210,,Franciscans International (FI),Constituency - Environmental,Annex II,0.25,Franciscans International (FI),0,3,0.5,15,0.142958,0.194792,0,0.310527
364,,Center for Biological Diversity (CBD),Constituency - Environmental,Annex II,1.866667,Center for Biological Diversity (CBD),0,13,3.733333,14,0.166393,0.25892,0.020824,1
646,,Society of Catholic Medical Missionaries (SCMM),Constituency - Research and independent,Annex II,0.616667,Society of Catholic Medical Missionaries (SCMM),0,10,1.233333,15,0.149046,0.231409,0.001861,0.827068
294,,Global Alert for Defence of Youth and the Less Privileged (GADYLP),Constituency - Youth,Non-Annex,0.25,Global Alert for Defence of Youth and the Less Privileged (GADYLP),0,3,0.5,1,1,1,0,0.027867
297,,Brahma Kumaris World Spiritual University (BKWSU),Constituency - Research and independent,Non-Annex,0.25,Brahma Kumaris World Spiritual University (BKWSU),0,3,0.5,1,1,1,0,0.027867
284,,Friends World Committee for Consultation,Constituency - Research and independent,Annex II,0.25,Friends World Committee for Consultation,0,3,0.5,1,1,1,0,0.027867
3,,United Nations of Youth Network (UNOY),Constituency - Youth,Non-Annex,0.25,United Nations of Youth Network (UNOY),0,3,0.5,1,1,1,0,0.027867
1761,,Institute for Policy Studies (IPS),Constituency - Environmental,Annex II,1.416667,Institute for Policy Studies (IPS),0,8,2.833333,14,0.162791,0.236506,0.006468,0.696718
686,,European Federation of Transport and Environment (T&E),Constituency - Environmental,Annex II,0.333333,European Federation of Transport and Environment (T&E),0,2,0.666667,15,0.142857,0.192329,0,0.24617
1060,,LDC Watch,Constituency - Research and independent,Non-Annex,0.5,LDC Watch,0,5,1,15,0.144484,0.204234,0,0.523786
68,,Freedom from Debt Coalition Inc. (FDC),Constituency - Research and independent,Non-Annex,0.166667,Freedom from Debt Coalition Inc. (FDC),0,5,0.333333,15,0.144484,0.204234,0,0.523786
841,,Rural Reconstruction Nepal (RRN),Constituency - Others,Non-Annex,0.666667,Rural Reconstruction Nepal (RRN),0,6,1.333333,15,0.147959,0.217108,0.005054,0.560798
1690,,350.org (350.org),Constituency - Environmental,Annex II,1.033333,350.org (350.org),0,7,2.066667,14,0.161753,0.241905,0.009,0.594082
904,,PUSH Sweden,Constituency - Youth,Annex II,0.2,PUSH Sweden,0,4,0.4,15,0.147529,0.213347,0,0.455278
431,,Food & Water Watch (FWW),Constituency - Environmental,Annex II,0.45,Food & Water Watch (FWW),0,7,0.9,14,0.159843,0.24143,0.012524,0.695491
773,,Organisation pour le Respect de l'Environnement dans l'Entreprise (OREE),Constituency - Environmental,Annex II,0.25,Organisation pour le Respect de l'Environnement dans l'Entreprise (OREE),0,3,0.5,1,1,1,0,0.027867
238,,United Nations Environment Programme (UNEP),UN,International,0.25,United Nations Environment Programme (UNEP),0,3,0.5,1,1,1,0,0.027867
637,,Nature and Biodiversity Conservation Union (NABU),Constituency - Environmental,Annex II,0.25,Nature and Biodiversity Conservation Union (NABU),0,3,0.5,1,1,1,0,0.027867
706,,BirdLife International (BLI),Constituency - Environmental,Annex II,0.25,BirdLife International (BLI),0,3,0.5,1,1,1,0,0.027867
1778,,United Nations Industrial Development Organization (UNIDO),UN,International,3.333333,United Nations Industrial Development Organization (UNIDO),0,2,0.666667,1,1,1,0,0.010141
602,,United Nations Economic Commission for Europe (ECE),UN,International,0.833333,United Nations Economic Commission for Europe (ECE),0,2,1.666667,1,1,1,0,0.010141
827,,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),UN,International,0.833333,United Nations Economic and Social Commission for Asia and the Pacific (ESCAP),0,2,1.666667,1,1,1,0,0.010141
744,,Center for International Environmental Law (CIEL),Constituency - Environmental,Annex II,0.583333,Center for International Environmental Law (CIEL),0,5,1.166667,12,0.171888,0.231396,0.015982,0.182029
1688,,Climate Justice Program (ACJP),Constituency - Environmental,Annex II,0.666667,Climate Justice Program (ACJP),0,4,1.333333,12,0.170302,0.223843,0.005857,0.133539
785,,Sweden,Party,Annex II,0.833333,Sweden,0,3,1.666667,15,0.143463,0.19699,0.004558,0.078203
809,,WWF (WWF),Constituency - Environmental,Annex II,2.333333,WWF (WWF),0,4,2.666667,14,0.153208,0.206161,0.008276,0.100459
309,,CEE Bankwatch Network (Bankwatch),Constituency - Environmental,Annex I Only,1.2,CEE Bankwatch Network (Bankwatch),0,9,2.4,13,0.171019,0.242703,0.015031,0.365663
1209,,The Climate Reality Project,Constituency - Environmental,Annex II,0.333333,The Climate Reality Project,0,2,0.666667,14,0.148936,0.192028,0,0.082283
1576,,Climate Action Network International (CAN International),Constituency - Environmental,Annex II,1.166667,Climate Action Network International (CAN International),0,5,2.333333,13,0.161753,0.216182,0.011464,0.115421
1098,,The Catholic Agency for Overseas Development (CAFOD),Constituency - Environmental,Annex II,0.333333,The Catholic Agency for Overseas Development (CAFOD),0,2,0.666667,14,0.150817,0.193301,0,0.059718
628,,urgewald e.V.,Constituency - Environmental,Annex II,1.033333,urgewald e.V.,0,6,2.066667,13,0.167907,0.235857,0.005562,0.344095
1445,,"Center for Energy, Environment, and Development (CEED)",Constituency - Research and independent,Non-Annex,0.2,"Center for Energy, Environment, and Development (CEED)",0,4,0.4,13,0.163052,0.218944,0,0.258847
323,,BankTrack,Constituency - Environmental,No match,0.533333,BankTrack,0,6,1.066667,12,0.172034,0.233091,0.01383,0.299733
1249,,Sierra Club,Constituency - Environmental,Annex II,0.333333,Sierra Club,0,2,0.666667,14,0.154608,0.205587,0,0.153055
1190,,The Association for Renewable Energy and Clean Technology (REA),Constituency - Business and Industry,Annex II,0.583333,The Association for Renewable Energy and Clean Technology (REA),1,5,1.166667,12,0.160221,0.200872,0.1084,0.125246
815,,Federation of Indian Chambers of Commerce and Industry (FICCI),Constituency - Business and Industry,Non-Annex,0.333333,Federation of Indian Chambers of Commerce and Industry (FICCI),1,2,0.666667,13,0.142757,0.171301,0,0.054577
742,,International Hydropower Association (IHA),Constituency - Business and Industry,Annex II,3.833333,International Hydropower Association (IHA),1,5,3.666667,13,0.147529,0.188008,0.105223,0.14771
1565,,Seychelles,Party,Non-Annex,1,Seychelles,0,1,2,1,1,1,0,0.002734
264,,ClimateNet,Constituency - Research and independent,Annex II,1,ClimateNet,0,1,2,1,1,1,0,0.002734
347,,Ethiopia,Party,Non-Annex,0.833333,Ethiopia,0,3,1.666667,15,0.13772,0.18298,0.002943,0.072931
1521,,ECOWAS Regional Centre for Renewable Energy and Energy Efficiency (ECREEE),IGO,Non-Annex,0.5,ECOWAS Regional Centre for Renewable Energy and Energy Efficiency (ECREEE),0,1,1,16,0.121122,0.149004,0,0.015585
747,,IndyACT-The League of Independent Activists (IndyACT),Constituency - Environmental,Non-Annex,0.333333,IndyACT-The League of Independent Activists (IndyACT),0,2,0.666667,1,1,1,0,0.010141
941,,Marshall Islands,Party,Non-Annex,0.333333,Marshall Islands,0,2,0.666667,1,1,1,0,0.010141
1433,,Costa Rica,Party,Non-Annex,0.333333,Costa Rica,0,2,0.666667,1,1,1,0,0.010141
437,,University of Potsdam,Constituency - Research and independent,Annex II,0.5,University of Potsdam,0,1,1,1,1,1,0,0.002734
493,,Stiftung Mercator Foundation,Constituency - Environmental,Annex II,0.5,Stiftung Mercator Foundation,0,1,1,1,1,1,0,0.002734
947,,Arizona State University (ASU),Constituency - Research and independent,Annex II,0.25,Arizona State University (ASU),0,3,0.5,17,0.104103,0.149501,0,0.10958
801,,Grace Richardson Fund (GRF),Constituency - Research and independent,Annex II,0.25,Grace Richardson Fund (GRF),1,3,0.5,17,0.104103,0.149501,0,0.10958
1755,,European Business Council for Sustainable Energy (e5),Constituency - Business and Industry,Annex II,1.416667,European Business Council for Sustainable Energy (e5),0,6,2.833333,17,0.105784,0.168548,0.006392,0.165974
1298,,Harvard University,Constituency - Research and independent,Annex II,0.5,Harvard University,0,1,1,1,1,1,0,0.002734
798,,ZEW - Leibniz Centre for European Economic Research (ZEW),Constituency - Research and independent,Annex II,0.5,ZEW - Leibniz Centre for European Economic Research (ZEW),0,1,1,1,1,1,0,0.002734
1254,,Trustees of Tufts College (Tufts University),Constituency - Research and independent,Annex II,0.5,Trustees of Tufts College (Tufts University),0,1,1,20,0.082286,0.112669,0,0.013037
72,,Chinese Renewable Energy Industry Association (CREIA),Constituency - Business and Industry,Non-Annex,1.333333,Chinese Renewable Energy Industry Association (CREIA),0,4,2.666667,19,0.089625,0.137928,0.005872,0.050497
1444,,China New Energy Chamber of Commerce (CNECC),Constituency - Business and Industry,Non-Annex,0.333333,China New Energy Chamber of Commerce (CNECC),0,2,0.666667,19,0.089546,0.133002,0,0.043659
38,,Danish Society of Engineers,Constituency - Others,Annex II,0.583333,Danish Society of Engineers,0,5,1.166667,18,0.098162,0.165455,0.011598,0.149879
396,,International Renewable Energy Agency (IRENA),IGO,Non-Annex,2.833333,International Renewable Energy Agency (IRENA),0,3,1.666667,12,0.155794,0.198316,0.00675,0.091037
1097,,Climate Action Network Canada (CAN-Rac),Constituency - Environmental,Annex II,0.583333,Climate Action Network Canada (CAN-Rac),0,4,1.166667,14,0.149046,0.204258,0.003062,0.121124
1,,International Forum on Globalization Inc. (IFG),Constituency - Environmental,Annex II,0.583333,International Forum on Globalization Inc. (IFG),0,4,1.166667,14,0.149046,0.204258,0.003062,0.121124
1427,,Association Française des Entreprises pour l'Environnement (EpE),Constituency - Business and Industry,Annex II,0.333333,Association Française des Entreprises pour l'Environnement (EpE),1,2,0.666667,1,1,1,0,0.010141
1496,,World Union of Small and Medium Enterprises (WUSME),Constituency - Business and Industry,No match,0.333333,World Union of Small and Medium Enterprises (WUSME),0,2,0.666667,1,1,1,0,0.010141
787,,Regional Center for Renewable Energy and Energy Efficiency (RCREEE),IGO,Non-Annex,1.333333,Regional Center for Renewable Energy and Energy Efficiency (RCREEE),0,2,0.666667,1,1,1,0,0.010141
1329,,World Energy Council (WEC),Constituency - Business and Industry,Annex II,4.5,World Energy Council (WEC),0,5,5,17,0.11521,0.161107,0.011685,0.034095
1452,,Consumers International (CI),Constituency - Environmental,Annex II,0.5,Consumers International (CI),0,1,1,18,0.10336,0.13107,0,0.011505
969,,United Nations Foundation (UNF),Constituency - Environmental,Annex II,2.833333,United Nations Foundation (UNF),0,5,3.666667,16,0.127834,0.177108,0.008786,0.065081
1472,,SNV Netherlands Development Organisation (SNV),Constituency - Environmental,No match,0.5,SNV Netherlands Development Organisation (SNV),0,1,1,17,0.113408,0.142662,0,0.015963
261,,War on Want,Constituency - Environmental,Annex II,0.25,War on Want,0,3,0.5,13,0.149595,0.19198,0,0.089351
1551,,Stand.Earth,Constituency - Environmental,Annex II,0.25,Stand.Earth,0,3,0.5,13,0.149595,0.19198,0,0.089351
508,,College of the Atlantic (COA),Constituency - Research and independent,Annex II,0.45,College of the Atlantic (COA),0,7,0.9,13,0.153904,0.212048,0.009906,0.190531
1397,,Carbon Tracker Initiative Limited,Constituency - Business and Industry,Annex II,0.25,Carbon Tracker Initiative Limited,0,3,0.5,18,0.096026,0.139593,0,0.081272
403,,Pembina Institute for Appropriate Development (PIAD),Constituency - Environmental,Annex II,0.25,Pembina Institute for Appropriate Development (PIAD),1,3,0.5,18,0.096026,0.139593,0,0.081272
230,,Solutions for Our Climate (SFOC),Constituency - Environmental,Non-Annex,0.5,Solutions for Our Climate (SFOC),0,5,1,18,0.096163,0.14534,0.000044,0.112084
314,,Global Wind Energy Council (GWEC),Constituency - Business and Industry,Annex II,3.333333,Global Wind Energy Council (GWEC),0,8,2.666667,17,0.106061,0.175527,0.021527,0.192249
928,,Iniciativa Climática de Mexico (ICM),Constituency - Environmental,Non-Annex,0.25,Iniciativa Climática de Mexico (ICM),0,3,0.5,18,0.096072,0.140414,0,0.083029
85,,Third Generation Environmentalism (E3G),Constituency - Environmental,Annex II,0.75,Third Generation Environmentalism (E3G),0,4,1.5,18,0.096117,0.142877,0.002943,0.087273
1072,,Imperial College London,Constituency - Research and independent,Annex II,0.583333,Imperial College London,0,5,1.166667,18,0.098496,0.169971,0.003379,0.176639
571,,Carnegie Mellon University (CMU),Constituency - Research and independent,Annex II,0.333333,Carnegie Mellon University (CMU),0,2,0.666667,18,0.097222,0.147557,0,0.074224
485,,Business Council for Sustainable Energy (BCSE),Constituency - Business and Industry,Annex II,2.166667,Business Council for Sustainable Energy (BCSE),0,6,4.333333,16,0.114754,0.175636,0.02262,0.247018
52,,CDP Worldwide (CDP),Constituency - Business and Industry,Annex II,0.333333,CDP Worldwide (CDP),0,2,0.666667,20,0.087765,0.116385,0,0.027665
1125,,International Center for Environmental Technology Transfer (ICETT),Constituency - Environmental,Annex II,1,International Center for Environmental Technology Transfer (ICETT),0,3,2,20,0.087803,0.118848,0.000007,0.034039
853,,Renewable Energy and Energy Efficiency Partnership (REEEP),Constituency - Environmental,Annex II,5.833333,Renewable Energy and Energy Efficiency Partnership (REEEP),0,5,3.666667,19,0.096117,0.139437,0.008749,0.069933
61,,Nordic Environment Finance Corporation (NEFCO),IGO,Annex II,1.166667,Nordic Environment Finance Corporation (NEFCO),0,2,2.333333,20,0.087765,0.116385,0,0.027665
554,,Swiss Federal Institute of Technology (ETH Zurich),Constituency - Research and independent,Annex II,0.533333,Swiss Federal Institute of Technology (ETH Zurich),0,6,1.066667,18,0.105895,0.159815,0.014424,0.154551
649,,Institute of Development Studies (IDS),Constituency - Research and independent,Annex II,0.333333,Institute of Development Studies (IDS),0,2,0.666667,19,0.095981,0.132048,0,0.049318
792,,Institute for Biodiversity Network e.V. (ibn),Constituency - Environmental,Annex II,0.5,Institute for Biodiversity Network e.V. (ibn),0,1,1,1,1,1,0,0.002734
1545,,Association of Sustainable Ecological Engineering Development (ASEED),Constituency - Environmental,Non-Annex,0.5,Association of Sustainable Ecological Engineering Development (ASEED),0,1,1,1,1,1,0,0.002734
1578,,World Bioenergy Association (WBA),Constituency - Business and Industry,Annex II,2.866667,World Bioenergy Association (WBA),0,5,5.733333,14,0.136242,0.183147,0.032996,0.199664
1398,,International Solar Energy Society e.V. (ISES),Constituency - Environmental,Annex II,3.366667,International Solar Energy Society e.V. (ISES),0,5,4.733333,14,0.136242,0.183147,0.032996,0.199664
623,,World Wind Energy Association (WWEA),Constituency - Business and Industry,Annex II,5.866667,World Wind Energy Association (WWEA),0,5,5.733333,14,0.136242,0.183147,0.032996,0.199664
1464,,International Geothermal Association (IGA),Constituency - Business and Industry,Annex II,0.2,International Geothermal Association (IGA),0,4,0.4,15,0.12318,0.166693,0,0.175518
71,,Demand Response and Smart Grid Coalition (DRSG),Constituency - Business and Industry,Annex II,2.283333,Demand Response and Smart Grid Coalition (DRSG),1,9,2.566667,15,0.126322,0.193869,0.097089,0.368165
487,,Greenpeace International (GREENPEACE),Constituency - Environmental,No match,6.5,Greenpeace International (GREENPEACE),0,4,3,11,0.169308,0.222617,0.013401,0.182273
997,,World Future Council (WFC),Constituency - Research and independent,Annex II,3.083333,World Future Council (WFC),0,12,6.166667,10,0.190253,0.265029,0.129827,0.414434
1007,,Renewable Energy Policy Network (REN21),Constituency - Environmental,Annex II,1.916667,Renewable Energy Policy Network (REN21),0,7,3.833333,11,0.166121,0.222667,0.004807,0.22576
204,,Sustainable Energy Africa (SEA),Constituency - Environmental,Non-Annex,0.666667,Sustainable Energy Africa (SEA),0,3,1.333333,11,0.163183,0.207115,0.003325,0.134996
288,,Institute for Advanced Sustainability Studies (IASS),Constituency - Research and independent,Annex II,0.333333,Institute for Advanced Sustainability Studies (IASS),0,2,0.666667,11,0.161239,0.200641,0,0.116525
1175,,Compensators e.V.,Constituency - Environmental,Annex II,0.25,Compensators e.V.,0,3,0.5,11,0.161367,0.203104,0,0.142962
776,,Renewables Grid Initiative e.V. (RGI),Constituency - Environmental,Annex II,0.25,Renewables Grid Initiative e.V. (RGI),0,3,0.5,11,0.161367,0.203104,0,0.142962
728,,Friedrich-Ebert-Stiftung e.V. (FES),Constituency - Research and independent,Annex II,0.25,Friedrich-Ebert-Stiftung e.V. (FES),0,3,0.5,11,0.166941,0.207845,0,0.148628
1611,,Asociación La Ruta del Clima,Constituency - Environmental,Non-Annex,0.25,Asociación La Ruta del Clima,0,3,0.5,11,0.166941,0.207845,0,0.148628
1696,,Coastal Development Partnership (CDPBD),Constituency - Environmental,Non-Annex,0.75,Coastal Development Partnership (CDPBD),0,8,1.5,11,0.174549,0.227348,0.112974,0.247519
1395,,"International Centre for Energy, Environment and Development Foundation (ICEED Foundation)",Constituency - Environmental,Non-Annex,0.25,"International Centre for Energy, Environment and Development Foundation (ICEED Foundation)",0,3,0.5,11,0.166941,0.207845,0,0.148628
1582,,Prakriti Resources Centre (PRC),Constituency - Environmental,Non-Annex,0.25,Prakriti Resources Centre (PRC),0,3,0.5,11,0.166941,0.207845,0,0.148628
291,,European Union,Party,Non-Annex,1,European Union,1,2,2,17,0.114819,0.151255,0.002943,0.018901
1115,,Estonia,Party,Annex I Only,0.5,Estonia,0,1,1,18,0.10336,0.13107,0,0.011505
454,,International Chamber of Commerce (ICC),Constituency - Business and Industry,Annex II,0.5,International Chamber of Commerce (ICC),1,1,1,18,0.10336,0.13107,0,0.011505
1663,,European Bank for Reconstruction and Development (EBRD),IGO,Annex II,0.333333,European Bank for Reconstruction and Development (EBRD),0,2,0.666667,1,1,1,0,0.010141
891,,Kazakhstan,Party,Non-Annex,0.333333,Kazakhstan,1,2,0.666667,1,1,1,0,0.010141
